DISTRICT,DATE,COUNT
Islington,2018-12-01,2810
Islington,2019-01-01,3025
Islington,2019-02-01,2764
Islington,2019-03-01,3082
Islington,2019-04-01,3082
Islington,2019-05-01,3113
Islington,2019-06-01,2899
Islington,2019-07-01,3442
Islington,2019-08-01,2918
Kensington and Chelsea,2017-01-01,1853
Kensington and Chelsea,2017-02-01,1647
Kensington and Chelsea,2017-03-01,2122
Kensington and Chelsea,2017-04-01,2008
Kensington and Chelsea,2017-05-01,2231
Kensington and Chelsea,2017-06-01,2098
Kensington and Chelsea,2017-07-01,2364
Kensington and Chelsea,2017-08-01,2848
Kensington and Chelsea,2017-09-01,2135
Kensington and Chelsea,2017-10-01,2098
Kensington and Chelsea,2017-11-01,2173
Kensington and Chelsea,2017-12-01,2029
Kensington and Chelsea,2018-01-01,2023
Kensington and Chelsea,2018-02-01,2005
Kensington and Chelsea,2018-03-01,2026
Kensington and Chelsea,2018-04-01,2014
Kensington and Chelsea,2018-05-01,2080
Kensington and Chelsea,2018-06-01,2206
Kensington and Chelsea,2018-07-01,2281
Kensington and Chelsea,2018-08-01,2608
Kensington and Chelsea,2018-09-01,1988
Kensington and Chelsea,2018-10-01,2133
Kensington and Chelsea,2018-11-01,2164
Kensington and Chelsea,2018-12-01,2087
Kensington and Chelsea,2019-01-01,2052
Kensington and Chelsea,2019-02-01,2056
Kensington and Chelsea,2019-03-01,2374
Kensington and Chelsea,2019-04-01,2150
Kensington and Chelsea,2019-05-01,2270
Kensington and Chelsea,2019-06-01,2461
Kensington and Chelsea,2019-07-01,2439
Kensington and Chelsea,2019-08-01,2823
Kingston upon Thames,2017-01-01,1165
Kingston upon Thames,2017-02-01,1065
Kingston upon Thames,2017-03-01,1210
Kingston upon Thames,2017-04-01,1149
Kingston upon Thames,2017-05-01,1255
Kingston upon Thames,2017-06-01,1122
Kingston upon Thames,2017-07-01,1249
Kingston upon Thames,2017-08-01,1262
Kingston upon Thames,2017-09-01,1172
Kingston upon Thames,2017-10-01,1307
Kingston upon Thames,2017-11-01,1334
Kingston upon Thames,2017-12-01,1082
Kingston upon Thames,2018-01-01,1189
Kingston upon Thames,2018-02-01,1094
Kingston upon Thames,2018-03-01,1163
Kingston upon Thames,2018-04-01,1201
Kingston upon Thames,2018-05-01,1221
Kingston upon Thames,2018-06-01,1150
Kingston upon Thames,2018-07-01,1305
Kingston upon Thames,2018-08-01,1364
Kingston upon Thames,2018-09-01,1221
Kingston upon Thames,2018-10-01,1487
Kingston upon Thames,2018-11-01,1360
Kingston upon Thames,2018-12-01,1188
Kingston upon Thames,2019-01-01,1279
Kingston upon Thames,2019-02-01,1237
Kingston upon Thames,2019-03-01,1316
Kingston upon Thames,2019-04-01,1340
Kingston upon Thames,2019-05-01,1315
